NNets, Digits, seed = 100 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
1,3,0,0,126,3,3,2,1,2,two
0,0,0,1,4,109,0,0,5,5,five
1,2,2,0,3,2,96,10,2,6,eight
1,0,1,1,0,3,7,106,3,0,one
0,1,1,0,1,1,0,3,117,0,nine
2,4,0,0,2,6,3,0,2,126,three

(0.9051470588235294, 0.015572975143787554)
NNets, Digits, seed = 105 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
147,0,1,0,0,1,0,0,1,0,zero
0,135,0,0,1,1,0,1,0,0,seven
0,0,126,2,0,0,2,5,2,0,four
1,0,2,150,0,1,0,1,0,0,six
0,4,0,0,133,0,0,2,2,0,two
0,0,1,0,3,116,0,1,2,1,five
0,2,0,1,1,1,104,12,1,2,eight
0,0,1,1,2,2,1,113,2,0,one
1,2,1,0,0,0,3,3,109,5,nine
0,4,0,0,1,2,0,0,2,136,three

(0.9330882352941177, 0.013280034889218636)
NNets, Digits, seed = 106 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
112,0,5,3,0,6,0,0,12,0,zero
0,126,2,0,0,0,2,2,0,6,seven
1,8,120,5,0,4,12,13,0,2,four
3,0,11,117,0,4,4,4,0,0,six
3,0,1,0,86,10,24,1,6,6,two
12,1,0,6,3,93,0,4,9,6,five
0,0,3,0,14,5,82,8,3,11,eight
0,3,6,0,0,4,4,104,0,0,one
2,3,3,0,21,11,14,0,59,30,nine
0,6,2,1,9,7,12,0,8,95,three

(0.7176895306859206, 0.023706256665209945)
NNets, Digits, seed = 106 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
128,1,1,3,1,1,0,1,1,1,zero
0,132,0,0,0,0,2,0,3,1,seven
1,5,136,7,0,1,2,5,8,0,four
3,0,1,128,0,1,3,7,0,0,six
0,0,0,0,110,0,5,6,2,14,two
2,1,1,1,0,113,1,1,12,2,five
0,3,5,3,3,2,92,16,2,0,eight
1,0,1,2,1,0,13,101,2,0,one
2,4,0,0,0,12,9,1,109,6,nine
0,4,0,0,5,8,2,1,2,118,three

(0.8425992779783393, 0.01917984468818008)
NNets, Digits, seed = 106 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
136,0,0,0,0,0,0,2,0,0,zero
0,131,0,0,0,0,0,0,4,3,seven
0,1,148,1,0,0,1,9,5,0,four
1,0,4,129,1,0,0,8,0,0,six
1,1,1,0,122,2,2,1,2,5,two
0,0,1,0,3,112,0,0,13,5,five
1,2,0,0,6,3,101,11,0,2,eight
0,0,0,1,0,0,13,104,2,1,one
1,4,3,0,1,0,11,1,121,1,nine
0,3,0,1,2,6,8,0,2,118,three

(0.8823104693140794, 0.016971132196669705)
NNets, Digits, seed = 106 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
136,0,0,2,0,0,0,0,0,0,zero
0,131,1,0,1,0,0,1,3,1,seven
0,3,141,6,0,0,1,9,5,0,four
0,0,2,136,0,1,0,4,0,0,six
0,1,0,0,129,0,2,4,0,1,two
0,2,3,0,1,120,0,1,7,0,five
0,1,0,1,1,6,102,12,2,1,eight
0,0,1,0,1,0,7,109,3,0,one
1,1,2,0,0,0,5,1,129,4,nine
0,5,0,0,1,2,0,1,3,128,three

(0.9104693140794223, 0.015036605201788705)
NNets, Digits, seed = 107 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
112,0,5,3,0,7,0,0,6,1,zero
0,123,3,0,0,0,2,1,0,5,seven
1,5,98,8,0,2,8,8,0,2,four
1,0,7,115,0,2,2,0,0,0,six
2,0,1,0,84,5,31,0,5,3,two
15,0,1,8,4,89,0,1,21,3,five
0,0,3,0,9,0,90,12,6,7,eight
0,1,11,1,3,9,6,119,3,0,one
2,9,6,2,17,11,8,1,61,23,nine
0,4,1,0,14,9,7,0,16,105,three

(0.7238372093023255, 0.02362380711544646)
NNets, Digits, seed = 107 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
120,1,0,3,2,6,0,1,1,0,zero
0,123,2,0,1,1,4,0,2,1,seven
0,3,116,2,0,0,6,1,4,0,four
0,0,0,118,0,0,3,6,0,0,six
0,2,1,0,114,0,5,1,1,7,two
3,1,1,1,0,120,0,0,16,0,five
0,3,6,2,4,0,94,14,4,0,eight
0,1,1,4,5,0,11,130,1,0,one
2,6,2,0,3,14,7,2,100,4,nine
0,1,0,0,8,6,3,0,1,137,three

(0.8517441860465116, 0.018776183027959928)
NNets, Digits, seed = 107 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
133,0,0,0,0,0,0,1,0,0,zero
0,126,1,0,2,1,1,0,2,1,seven
0,1,121,2,0,0,0,5,3,0,four
0,0,3,120,2,0,1,1,0,0,six
0,2,0,0,119,2,3,1,1,3,two
0,0,0,5,3,123,1,0,7,3,five
0,1,4,3,5,3,94,8,3,6,eight
0,1,1,0,0,2,12,130,7,0,one
0,1,3,0,1,2,9,2,121,1,nine
0,2,0,1,2,5,6,2,5,133,three

(0.8866279069767442, 0.016752153161637393)
NNets, Digits, seed = 107 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
132,0,1,1,0,0,0,0,0,0,zero
0,127,0,0,0,0,0,2,5,0,seven
0,2,119,3,0,0,2,3,3,0,four
0,0,2,125,0,0,0,0,0,0,six
0,3,0,0,123,0,1,3,0,1,two
0,1,2,0,4,131,1,0,2,1,five
0,0,1,2,0,0,114,10,0,0,eight
0,0,3,1,2,0,4,139,3,1,one
0,2,2,0,0,3,4,3,123,3,nine
0,1,0,0,1,5,3,0,7,139,three

(0.9244186046511628, 0.013966534092139514)
NNets, Digits, seed = 108 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
113,0,4,3,0,7,0,0,9,0,zero
0,141,1,1,0,0,1,1,1,3,seven
1,13,101,8,0,1,16,9,1,0,four
1,0,5,127,0,4,4,0,0,0,six
5,0,1,0,88,8,34,1,1,8,two
14,1,2,4,7,100,0,2,18,6,five
0,2,3,0,8,3,97,12,7,13,eight
0,2,8,0,1,3,5,124,0,1,one
1,2,3,0,20,13,11,0,56,34,nine
0,2,1,0,5,4,6,0,7,111,three

(0.7342123525329632, 0.02280879390132334)
NNets, Digits, seed = 108 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
127,0,2,2,1,2,0,1,0,1,zero
1,140,3,0,0,1,0,0,3,1,seven
0,5,125,2,0,0,6,3,9,0,four
1,0,0,137,0,0,1,2,0,0,six
0,1,0,0,122,0,9,4,4,6,two
1,0,2,0,0,119,0,2,28,2,five
0,2,6,0,2,1,111,14,8,1,eight
1,0,4,3,4,0,12,118,1,1,one
1,9,0,0,0,14,6,0,106,4,nine
0,2,0,0,2,3,1,0,1,127,three

(0.8549618320610687, 0.018181872045620728)
NNets, Digits, seed = 108 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
133,0,1,1,0,0,0,1,0,0,zero
0,145,0,0,0,0,1,0,2,1,seven
0,2,134,2,0,0,1,5,6,0,four
1,0,1,138,0,0,0,1,0,0,six
1,5,0,0,131,0,0,3,2,4,two
0,1,1,1,2,134,0,0,11,4,five
0,4,1,1,6,4,111,7,1,10,eight
0,0,2,0,0,1,10,125,6,0,one
0,5,2,0,0,2,6,2,121,2,nine
1,2,0,0,0,2,0,0,1,130,three

(0.9035392088827203, 0.01524308924642847)
NNets, Digits, seed = 108 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
132,0,1,1,0,0,1,0,1,0,zero
0,138,2,0,0,0,1,1,5,2,seven
0,4,130,1,0,0,4,4,7,0,four
1,0,1,138,0,0,1,0,0,0,six
1,4,0,0,136,0,0,3,1,1,two
0,1,3,0,2,141,1,1,4,1,five
0,2,1,0,1,3,126,8,1,3,eight
0,0,0,0,1,0,7,133,3,0,one
0,2,1,0,0,2,6,1,124,4,nine
0,2,0,0,0,1,0,0,3,130,three

(0.9215822345593337, 0.013880284230901384)
NNets, Digits, seed = 109 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
117,0,3,2,0,4,0,0,14,1,zero
0,144,1,1,0,0,1,3,0,3,seven
1,8,106,5,0,1,7,7,0,0,four
2,0,10,115,0,0,6,0,0,0,six
3,0,1,0,68,5,27,2,6,9,two
20,0,3,9,6,76,0,4,20,7,five
0,0,0,0,9,3,91,12,5,11,eight
1,2,6,0,4,4,4,130,1,1,one
0,4,3,2,12,13,11,0,53,31,nine
0,4,1,0,10,6,7,0,17,98,three

(0.7210982658959537, 0.02362712392311185)
NNets, Digits, seed = 109 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
130,1,1,2,0,5,0,1,1,0,zero
1,138,3,0,4,0,3,0,3,1,seven
0,1,118,4,0,1,1,2,8,0,four
2,0,1,122,0,1,1,6,0,0,six
0,0,0,0,100,0,6,7,4,4,two
1,0,1,0,0,122,1,2,15,3,five
0,2,3,4,3,1,92,17,7,2,eight
1,0,4,1,6,0,8,130,3,0,one
1,6,2,0,1,7,8,0,103,1,nine
0,1,0,0,5,4,0,0,2,131,three

(0.8569364161849711, 0.01844704791512648)
NNets, Digits, seed = 109 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
139,0,0,0,1,0,0,1,0,0,zero
1,143,1,0,1,3,1,0,2,1,seven
1,0,125,3,0,0,0,4,1,1,four
0,0,0,131,0,0,1,1,0,0,six
2,2,0,1,107,0,1,1,4,3,two
0,1,0,0,7,125,0,0,6,6,five
0,0,1,2,3,2,102,16,1,4,eight
0,0,2,1,0,0,10,135,5,0,one
0,5,2,0,0,2,6,0,113,1,nine
1,3,0,1,1,5,3,0,5,124,three

(0.8988439306358381, 0.015886423807617758)
NNets, Digits, seed = 109 , hidden_size = 100
